column,category,description,typical_range,source,notes
resume_score,CAGE Composite,"Quality-wins composite on 0–100 scale. Rewards Q1 wins, win rate vs good teams, road success. Penalizes bad losses. Our version of Torvik's resume metric.",0 – 100,Computed,50 = bubble-quality resume. >60 = comfortable. >75 = top-10 resume. Useful for committee-style seeding analysis.
suffocation,CAGE Composite,"Defensive composite — how completely this defense shuts down opponents. Combines opponent eFG%, defensive rebounding, and adjusted defensive rating.",0 – 100,Tournament module / fallback computed,50 = average. >75 = elite shutdown defense. Low-scoring game predictor.
momentum,CAGE Composite,Momentum Quality Rating — recent form weighted by opponent quality. Not just win streak: a 5-game win streak vs weak opponents scores lower than 3 wins vs top-25.,0 – 100,Tournament module,50 = neutral. >65 = meaningfully hot. >80 = surging through elite competition.
clutch_rating,CAGE Composite,"Close-game excellence — performance in games decided by ≤5 points, adjusted for luck in those games.",0 – 100,Computed,50 = average. >70 = consistently closes games. Important for single-elimination tournament prediction.
consistency_score,CAGE Composite,How predictable/reliable this team is game-to-game. Inverse of net efficiency and shooting variance.,0 – 100,Computed from std dev,100 = machine-like (Virginia under Bennett). 50 = average. <35 = boom-or-bust — dangerous to pick in tournament.
off_identity,CAGE Composite,"Offensive Identity Score — how cohesive and defined the offensive system is. High = team executes a clear, repeatable offensive scheme.",0 – 100,Tournament module,High identity teams are more consistent under tournament pressure.
tourney_readiness,CAGE Composite,"Overall tournament readiness composite — aggregates schedule toughness, recent form, neutral-court performance, and defensive profile.",0 – 100,Tournament module,Specifically calibrated for single-elimination. Best single number for tournament bracket analysis.
star_risk,CAGE Composite,Star Reliance Risk — how dependent this team is on a single player's performance. High = fragile if the star has an off night.,0 – 100,Tournament module,50 = balanced team. >70 = one player carries them — high variance in tournament. Best paired with consistency_score.
dna_score,CAGE Composite,"Tournament DNA Index — composite capturing historical behavioral markers that predict tournament success: road wins, close wins, elite opponent wins.",0 – 100,Tournament module,The 'proven it matters' metric. A team with dna_score >70 has demonstrated performance specifically in tournament-like conditions.
floor_em,Range,Downside performance estimate — team's CAGE_EM minus 1.5 standard deviations. What they look like on a bad night (captures ~87% of outcomes).,-35 to +20,Computed from cage_em ± 1.5σ,In AdjEM units. Negative floor_em means on a bad night this team plays below average D1 level. Critical tournament risk metric.
ceiling_em,Range,Upside performance estimate — team's CAGE_EM plus 1.5 standard deviations. Peak performance potential.,-10 to +45,Computed from cage_em ± 1.5σ,The gap between floor_em and ceiling_em reflects variance/unpredictability. Wide gap = boom-or-bust team.
trend_arrow,Trend,Directional momentum indicator comparing last 5 games vs last 10 games net efficiency.,↑↑ SURGE / ↑ UP / → FLAT / ↓ DOWN / ↓↓ SLIDE,Computed from net_rtg_l5 vs net_rtg_l10,↑↑ SURGE: L5 better by 5+ pts. ↑ UP: 2–5 pts. → FLAT: within ±2. ↓ DOWN: 2–5 worse. ↓↓ SLIDE: 5+ worse.
trend_numeric,Trend,"Numeric encoding of trend_arrow for sorting. +2=SURGE, +1=UP, 0=FLAT, -1=DOWN, -2=SLIDE.",-2 to +2,Computed,Use for sorting/filtering. trend_arrow is for display.
offensive_archetype,Style,"Offensive system classification based on pace, 3-point rate, and free throw generation.","e.g. PACE-AND-SPACE, GRIND-IT-OUT, DRIBBLE-DRIVE",Tournament module,Useful for matchup analysis — some archetypes systematically exploit others.
home_road_delta_pct,Style,"Percentage point gap between home and road win rates. Large positive = crowd-dependent, vulnerable on neutral courts.",-20 to +40,Computed from home/away records,"Tournament teams play on neutral courts. High home_road_delta = red flag. Negative or near-zero = road warrior, tournament-ready."
regression_risk,Flags,Binary flag: 1 = this team is shooting unsustainably well from 3-point range and is statistically due for a shooting correction.,0 or 1,Tournament module,Teams with regression_risk=1 should be faded slightly in ensemble models. Three-point shooting is the most volatile CBB stat.
star_danger,Flags,Binary flag: 1 = star player reliance is at a dangerous level AND team has shown fragility when the star underperforms.,0 or 1,Tournament module,Combined star_risk + fragility indicator. More aggressive flag than star_risk alone.
three_pct_gap,Flags,Recent 3-point percentage (L5) minus season 3-point percentage. Positive = currently running hot from three.,-8 to +8 pct pts,Tournament module,>5 = potential regression candidate. Pairs with regression_risk flag.
efg_pct,Four Factors,Effective Field Goal percentage — accounts for 3-pointers being worth 50% more than 2-pointers. (FGM + 0.5*3PM) / FGA.,40 – 62%,Pipeline,Dean Oliver's #1 factor (weight: 40%). League average ≈ 50.5%. Elite offense: >55%.
opp_efg_pct,Four Factors,Opponent Effective Field Goal percentage allowed — defensive eFG% suppression.,40 – 62%,Pipeline (season opponent avg),Lower is better. Elite defense: <46%. Combine with suffocation score for full defensive picture.
tov_pct,Four Factors,Turnover percentage — turnovers per 100 possessions. Lower is better.,12 – 25%,Pipeline,Oliver's factor #2 (weight: 25%). League average ≈ 18%. Elite: <15%.
orb_pct,Four Factors,Offensive rebound percentage — share of available offensive rebounds captured.,20 – 45%,Pipeline,Dean Oliver's #3 factor (weight: 20%). High orb_pct = second-chance points machine.
drb_pct,Four Factors,Defensive rebound percentage — share of available defensive rebounds captured.,55 – 85%,Pipeline,Complement to orb_pct. Elite defense: drb_pct >75%.
ftr,Four Factors,Free Throw Rate — free throw attempts per field goal attempt. Measures ability to get to the line.,15 – 50%,Pipeline,Dean Oliver's #4 factor (weight: 15%). High ftr + high ft_pct = free point machine.
three_par,Four Factors,Three-Point Attempt Rate — share of field goal attempts from behind the arc.,20 – 55%,Pipeline,High three_par teams live and die by 3-point shooting variance.
three_pct,Four Factors,Three-point field goal percentage (season).,28 – 42%,Pipeline,Most volatile major shooting stat. Use three_pct_gap to flag hot-shooting teams.
ft_pct,Four Factors,Free throw percentage.,62 – 82%,Pipeline,Matters most in close games and tournament play when fouls are more common.
close_wpct,Four Factors,Win percentage in games decided by ≤5 points.,0.000 – 1.000,Pipeline,Core input to clutch_rating. High close_wpct teams overperform in tournament settings.
net_rtg_l5,Rolling Windows,Net efficiency rating (ortg minus drtg) averaged over last 5 games. Best indicator of current form.,-20 to +30,Pipeline,Primary input to Momentum ensemble model. Recency-weighted.
net_rtg_l10,Rolling Windows,Net efficiency rating averaged over last 10 games. Medium-term form baseline.,-15 to +25,Pipeline,"Used with net_rtg_l5 to compute trend_arrow. More stable than L5, less stable than season avg."
updated_at,Meta,Timestamp when this row was last computed.,ISO datetime,Computed,
